day,day_name,meal_type,meal_id,meal_name
1,Mon,Breakfast,B2,Scrambled Eggs with Toast
1,Mon,Lunch,L12,Salmon Rice Bowl
1,Mon,Dinner,D19,Sardine Lentil Stew
2,Tue,Breakfast,B6,Pancakes with Butter
2,Tue,Lunch,L16,Salmon Pasta with Spinach
2,Tue,Dinner,D7,Lentil Soup
3,Wed,Breakfast,B2,Scrambled Eggs with Toast
3,Wed,Lunch,L15,Sardine Rice with Kale
3,Wed,Dinner,D19,Sardine Lentil Stew
4,Thu,Breakfast,B1,Oatmeal with Banana
4,Thu,Lunch,L3,Rice and Beans
4,Thu,Dinner,D13,Salmon Stir-Fry with Rice
5,Fri,Breakfast,B6,Pancakes with Butter
5,Fri,Lunch,L16,Salmon Pasta with Spinach
5,Fri,Dinner,D7,Lentil Soup
6,Sat,Breakfast,B1,Oatmeal with Banana
6,Sat,Lunch,L3,Rice and Beans
6,Sat,Dinner,D13,Salmon Stir-Fry with Rice
7,Sun,Breakfast,B2,Scrambled Eggs with Toast
7,Sun,Lunch,L12,Salmon Rice Bowl
7,Sun,Dinner,D18,Bean and Kale Rice Bowl
