constraint,direction,nutrient,day,shadow_price
C8_lb_calories_d1,lb,calories,1,-0.0
C8_ub_calories_d1,ub,calories,1,0.0
C8_lb_protein_g_d1,lb,protein_g,1,0.0
C8_ub_protein_g_d1,ub,protein_g,1,0.0
C8_lb_fat_g_d1,lb,fat_g,1,0.0
C8_ub_fat_g_d1,ub,fat_g,1,0.0
C8_lb_carbs_g_d1,lb,carbs_g,1,0.0
C8_ub_carbs_g_d1,ub,carbs_g,1,0.0
C8_lb_fiber_g_d1,lb,fiber_g,1,0.0
C8_ub_fiber_g_d1,ub,fiber_g,1,0.0
C8_lb_sugar_g_d1,lb,sugar_g,1,0.0
C8_ub_sugar_g_d1,ub,sugar_g,1,0.0
C8_lb_sodium_mg_d1,lb,sodium_mg,1,0.0
C8_ub_sodium_mg_d1,ub,sodium_mg,1,0.0
C8_lb_calcium_mg_d1,lb,calcium_mg,1,0.0
C8_ub_calcium_mg_d1,ub,calcium_mg,1,0.0
C8_lb_iron_mg_d1,lb,iron_mg,1,0.0
C8_ub_iron_mg_d1,ub,iron_mg,1,0.0
C8_lb_potassium_mg_d1,lb,potassium_mg,1,0.0
C8_ub_potassium_mg_d1,ub,potassium_mg,1,0.0
C8_lb_vitamin_d_iu_d1,lb,vitamin_d_iu,1,0.0
C8_ub_vitamin_d_iu_d1,ub,vitamin_d_iu,1,0.0
C8_lb_b12_mcg_d1,lb,b12_mcg,1,0.0
C8_ub_b12_mcg_d1,ub,b12_mcg,1,0.0
C8_lb_folate_mcg_dfe_d1,lb,folate_mcg_dfe,1,0.0
C8_ub_folate_mcg_dfe_d1,ub,folate_mcg_dfe,1,0.0
C8_lb_magnesium_mg_d1,lb,magnesium_mg,1,0.0
C8_ub_magnesium_mg_d1,ub,magnesium_mg,1,0.0
C8_lb_calories_d2,lb,calories,2,0.0
C8_ub_calories_d2,ub,calories,2,0.0
C8_lb_protein_g_d2,lb,protein_g,2,0.0
C8_ub_protein_g_d2,ub,protein_g,2,0.0
C8_lb_fat_g_d2,lb,fat_g,2,0.0
C8_ub_fat_g_d2,ub,fat_g,2,0.0
C8_lb_carbs_g_d2,lb,carbs_g,2,0.0
C8_ub_carbs_g_d2,ub,carbs_g,2,0.0
C8_lb_fiber_g_d2,lb,fiber_g,2,0.0
C8_ub_fiber_g_d2,ub,fiber_g,2,0.0
C8_lb_sugar_g_d2,lb,sugar_g,2,0.0
C8_ub_sugar_g_d2,ub,sugar_g,2,0.0
C8_lb_sodium_mg_d2,lb,sodium_mg,2,0.0
C8_ub_sodium_mg_d2,ub,sodium_mg,2,0.0
C8_lb_calcium_mg_d2,lb,calcium_mg,2,0.0
C8_ub_calcium_mg_d2,ub,calcium_mg,2,0.0
C8_lb_iron_mg_d2,lb,iron_mg,2,0.0
C8_ub_iron_mg_d2,ub,iron_mg,2,0.0
C8_lb_potassium_mg_d2,lb,potassium_mg,2,0.0
C8_ub_potassium_mg_d2,ub,potassium_mg,2,0.0
C8_lb_vitamin_d_iu_d2,lb,vitamin_d_iu,2,0.0
C8_ub_vitamin_d_iu_d2,ub,vitamin_d_iu,2,0.0
C8_lb_b12_mcg_d2,lb,b12_mcg,2,0.0
C8_ub_b12_mcg_d2,ub,b12_mcg,2,0.0
C8_lb_folate_mcg_dfe_d2,lb,folate_mcg_dfe,2,0.0
C8_ub_folate_mcg_dfe_d2,ub,folate_mcg_dfe,2,0.0
C8_lb_magnesium_mg_d2,lb,magnesium_mg,2,0.0
C8_ub_magnesium_mg_d2,ub,magnesium_mg,2,0.0
C8_lb_calories_d3,lb,calories,3,-0.0
C8_ub_calories_d3,ub,calories,3,0.0
C8_lb_protein_g_d3,lb,protein_g,3,0.0
C8_ub_protein_g_d3,ub,protein_g,3,0.0
C8_lb_fat_g_d3,lb,fat_g,3,0.0
C8_ub_fat_g_d3,ub,fat_g,3,0.0
C8_lb_carbs_g_d3,lb,carbs_g,3,0.0
C8_ub_carbs_g_d3,ub,carbs_g,3,0.0
C8_lb_fiber_g_d3,lb,fiber_g,3,0.0
C8_ub_fiber_g_d3,ub,fiber_g,3,0.0
C8_lb_sugar_g_d3,lb,sugar_g,3,0.0
C8_ub_sugar_g_d3,ub,sugar_g,3,0.0
C8_lb_sodium_mg_d3,lb,sodium_mg,3,0.0
C8_ub_sodium_mg_d3,ub,sodium_mg,3,0.0
C8_lb_calcium_mg_d3,lb,calcium_mg,3,0.0
C8_ub_calcium_mg_d3,ub,calcium_mg,3,0.0
C8_lb_iron_mg_d3,lb,iron_mg,3,0.0
C8_ub_iron_mg_d3,ub,iron_mg,3,0.0
C8_lb_potassium_mg_d3,lb,potassium_mg,3,0.0
C8_ub_potassium_mg_d3,ub,potassium_mg,3,0.0
C8_lb_vitamin_d_iu_d3,lb,vitamin_d_iu,3,0.0
C8_ub_vitamin_d_iu_d3,ub,vitamin_d_iu,3,0.0
C8_lb_b12_mcg_d3,lb,b12_mcg,3,0.0
C8_ub_b12_mcg_d3,ub,b12_mcg,3,0.0
C8_lb_folate_mcg_dfe_d3,lb,folate_mcg_dfe,3,0.0
C8_ub_folate_mcg_dfe_d3,ub,folate_mcg_dfe,3,0.0
C8_lb_magnesium_mg_d3,lb,magnesium_mg,3,0.0
C8_ub_magnesium_mg_d3,ub,magnesium_mg,3,0.0
C8_lb_calories_d4,lb,calories,4,-0.0
C8_ub_calories_d4,ub,calories,4,0.0
C8_lb_protein_g_d4,lb,protein_g,4,0.0
C8_ub_protein_g_d4,ub,protein_g,4,0.0
C8_lb_fat_g_d4,lb,fat_g,4,0.0
C8_ub_fat_g_d4,ub,fat_g,4,0.0
C8_lb_carbs_g_d4,lb,carbs_g,4,0.0
C8_ub_carbs_g_d4,ub,carbs_g,4,0.0
C8_lb_fiber_g_d4,lb,fiber_g,4,0.0
C8_ub_fiber_g_d4,ub,fiber_g,4,0.0
C8_lb_sugar_g_d4,lb,sugar_g,4,0.0
C8_ub_sugar_g_d4,ub,sugar_g,4,0.0
C8_lb_sodium_mg_d4,lb,sodium_mg,4,0.0
C8_ub_sodium_mg_d4,ub,sodium_mg,4,0.0
C8_lb_calcium_mg_d4,lb,calcium_mg,4,0.0
C8_ub_calcium_mg_d4,ub,calcium_mg,4,0.0
C8_lb_iron_mg_d4,lb,iron_mg,4,0.0
C8_ub_iron_mg_d4,ub,iron_mg,4,0.0
C8_lb_potassium_mg_d4,lb,potassium_mg,4,0.0
C8_ub_potassium_mg_d4,ub,potassium_mg,4,0.0
C8_lb_vitamin_d_iu_d4,lb,vitamin_d_iu,4,0.0
C8_ub_vitamin_d_iu_d4,ub,vitamin_d_iu,4,0.0
C8_lb_b12_mcg_d4,lb,b12_mcg,4,0.0
C8_ub_b12_mcg_d4,ub,b12_mcg,4,0.0
C8_lb_folate_mcg_dfe_d4,lb,folate_mcg_dfe,4,0.0
C8_ub_folate_mcg_dfe_d4,ub,folate_mcg_dfe,4,0.0
C8_lb_magnesium_mg_d4,lb,magnesium_mg,4,0.0
C8_ub_magnesium_mg_d4,ub,magnesium_mg,4,0.0
C8_lb_calories_d5,lb,calories,5,-0.0
C8_ub_calories_d5,ub,calories,5,0.0
C8_lb_protein_g_d5,lb,protein_g,5,0.0
C8_ub_protein_g_d5,ub,protein_g,5,0.0
C8_lb_fat_g_d5,lb,fat_g,5,0.0
C8_ub_fat_g_d5,ub,fat_g,5,0.0
C8_lb_carbs_g_d5,lb,carbs_g,5,0.0
C8_ub_carbs_g_d5,ub,carbs_g,5,0.0
C8_lb_fiber_g_d5,lb,fiber_g,5,0.0
C8_ub_fiber_g_d5,ub,fiber_g,5,0.0
C8_lb_sugar_g_d5,lb,sugar_g,5,0.0
C8_ub_sugar_g_d5,ub,sugar_g,5,0.0
C8_lb_sodium_mg_d5,lb,sodium_mg,5,0.0
C8_ub_sodium_mg_d5,ub,sodium_mg,5,0.0
C8_lb_calcium_mg_d5,lb,calcium_mg,5,0.0
C8_ub_calcium_mg_d5,ub,calcium_mg,5,0.0
C8_lb_iron_mg_d5,lb,iron_mg,5,0.0
C8_ub_iron_mg_d5,ub,iron_mg,5,0.0
C8_lb_potassium_mg_d5,lb,potassium_mg,5,0.0
C8_ub_potassium_mg_d5,ub,potassium_mg,5,0.0
C8_lb_vitamin_d_iu_d5,lb,vitamin_d_iu,5,0.0
C8_ub_vitamin_d_iu_d5,ub,vitamin_d_iu,5,0.0
C8_lb_b12_mcg_d5,lb,b12_mcg,5,0.0
C8_ub_b12_mcg_d5,ub,b12_mcg,5,0.0
C8_lb_folate_mcg_dfe_d5,lb,folate_mcg_dfe,5,0.0
C8_ub_folate_mcg_dfe_d5,ub,folate_mcg_dfe,5,0.0
C8_lb_magnesium_mg_d5,lb,magnesium_mg,5,0.0
C8_ub_magnesium_mg_d5,ub,magnesium_mg,5,0.0
C8_lb_calories_d6,lb,calories,6,-0.0
C8_ub_calories_d6,ub,calories,6,0.0
C8_lb_protein_g_d6,lb,protein_g,6,0.0
C8_ub_protein_g_d6,ub,protein_g,6,0.0
C8_lb_fat_g_d6,lb,fat_g,6,0.0
C8_ub_fat_g_d6,ub,fat_g,6,0.0
C8_lb_carbs_g_d6,lb,carbs_g,6,0.0
C8_ub_carbs_g_d6,ub,carbs_g,6,0.0
C8_lb_fiber_g_d6,lb,fiber_g,6,0.0
C8_ub_fiber_g_d6,ub,fiber_g,6,0.0
C8_lb_sugar_g_d6,lb,sugar_g,6,0.0
C8_ub_sugar_g_d6,ub,sugar_g,6,0.0
C8_lb_sodium_mg_d6,lb,sodium_mg,6,0.0
C8_ub_sodium_mg_d6,ub,sodium_mg,6,0.0
C8_lb_calcium_mg_d6,lb,calcium_mg,6,0.0
C8_ub_calcium_mg_d6,ub,calcium_mg,6,0.0
C8_lb_iron_mg_d6,lb,iron_mg,6,0.0
C8_ub_iron_mg_d6,ub,iron_mg,6,0.0
C8_lb_potassium_mg_d6,lb,potassium_mg,6,0.0
C8_ub_potassium_mg_d6,ub,potassium_mg,6,0.0
C8_lb_vitamin_d_iu_d6,lb,vitamin_d_iu,6,0.0
C8_ub_vitamin_d_iu_d6,ub,vitamin_d_iu,6,0.0
C8_lb_b12_mcg_d6,lb,b12_mcg,6,0.0
C8_ub_b12_mcg_d6,ub,b12_mcg,6,0.0
C8_lb_folate_mcg_dfe_d6,lb,folate_mcg_dfe,6,0.0
C8_ub_folate_mcg_dfe_d6,ub,folate_mcg_dfe,6,0.0
C8_lb_magnesium_mg_d6,lb,magnesium_mg,6,0.0
C8_ub_magnesium_mg_d6,ub,magnesium_mg,6,0.0
C8_lb_calories_d7,lb,calories,7,-2.168404344971009e-19
C8_ub_calories_d7,ub,calories,7,0.0
C8_lb_protein_g_d7,lb,protein_g,7,0.0
C8_ub_protein_g_d7,ub,protein_g,7,0.0
C8_lb_fat_g_d7,lb,fat_g,7,0.0
C8_ub_fat_g_d7,ub,fat_g,7,0.0
C8_lb_carbs_g_d7,lb,carbs_g,7,0.0
C8_ub_carbs_g_d7,ub,carbs_g,7,0.0
C8_lb_fiber_g_d7,lb,fiber_g,7,0.0
C8_ub_fiber_g_d7,ub,fiber_g,7,0.0
C8_lb_sugar_g_d7,lb,sugar_g,7,0.0
C8_ub_sugar_g_d7,ub,sugar_g,7,0.0
C8_lb_sodium_mg_d7,lb,sodium_mg,7,0.0
C8_ub_sodium_mg_d7,ub,sodium_mg,7,0.0
C8_lb_calcium_mg_d7,lb,calcium_mg,7,0.0
C8_ub_calcium_mg_d7,ub,calcium_mg,7,0.0
C8_lb_iron_mg_d7,lb,iron_mg,7,0.0
C8_ub_iron_mg_d7,ub,iron_mg,7,0.0
C8_lb_potassium_mg_d7,lb,potassium_mg,7,0.0
