nutrient,direction,avg_shadow,min_shadow,max_shadow,std_shadow
b12_mcg,lb,0.0,0.0,0.0,0.0
b12_mcg,ub,0.0,0.0,0.0,0.0
calcium_mg,lb,0.0,0.0,0.0,0.0
calcium_mg,ub,0.0,0.0,0.0,0.0
calories,lb,-3.097720492815727e-20,-2.168404344971009e-19,-0.0,8.19579805517886e-20
calories,ub,0.0,0.0,0.0,0.0
carbs_g,lb,0.0,0.0,0.0,0.0
carbs_g,ub,0.0,0.0,0.0,0.0
fat_g,lb,0.0,0.0,0.0,0.0
fat_g,ub,0.0,0.0,0.0,0.0
fiber_g,lb,0.0,0.0,0.0,0.0
fiber_g,ub,0.0,0.0,0.0,0.0
folate_mcg_dfe,lb,0.0,0.0,0.0,0.0
folate_mcg_dfe,ub,0.0,0.0,0.0,0.0
iron_mg,lb,0.0,0.0,0.0,0.0
iron_mg,ub,0.0,0.0,0.0,0.0
magnesium_mg,lb,0.0,0.0,0.0,0.0
magnesium_mg,ub,0.0,0.0,0.0,0.0
potassium_mg,lb,0.0,0.0,0.0,0.0
potassium_mg,ub,0.0,0.0,0.0,0.0
protein_g,lb,0.0,0.0,0.0,0.0
protein_g,ub,0.0,0.0,0.0,0.0
sodium_mg,lb,0.0,0.0,0.0,0.0
sodium_mg,ub,0.0,0.0,0.0,0.0
sugar_g,lb,0.0,0.0,0.0,0.0
sugar_g,ub,0.0,0.0,0.0,0.0
vitamin_d_iu,lb,0.0,0.0,0.0,0.0
vitamin_d_iu,ub,0.0,0.0,0.0,0.0
